checkpoint,config_hash,cross_process_exchange,dataset,experiment,horizon,model,result_path,result_sha256,seed,variant
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h192.pt,fbcb9569338b7d7f,False,ETTh1,central,192,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h192.json,71d126580215db610a4b80681b64ec750866d67347226d8ccea303dd025bdae7,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h336.pt,33839b861a930e31,False,ETTh1,central,336,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h336.json,93d67c8ccd1779ea477122b4f100b1d9093793e90778938c22f0885d899ba67f,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h720.pt,b1d266b2e43a58a0,False,ETTh1,central,720,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h720.json,c7bb5dece84b54f250ed5cbb5506620617fb7890a061d39ccf2a654eacfd1f21,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h96.pt,8ca4b8a09e8f4881,False,ETTh1,central,96,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h96.json,a74709bebba0d2fa59adeb72015517c5c9b72cce40bf2245122a3d2db45eeb4c,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h192.pt,11a47eb78bde4113,False,ETTh2,central,192,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h192.json,124d12b8c6006a7467734c84d1e159ac8585919a65b15ecb7b093763e86f2b93,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h336.pt,bf047e0667f8c3c5,False,ETTh2,central,336,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h336.json,a655c78b39ef368d3156116da10dcdf31fe0fdc6608ad0f892e7c18283212194,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h720.pt,494925d821ff7072,False,ETTh2,central,720,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h720.json,00e9d12f5bed07f0903551beaa5b5756ec54d1408486324391c5c7f965bf2b24,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h96.pt,3f31f0d8a8062537,False,ETTh2,central,96,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h96.json,a5fad190da4587792358d0b8fe6f4b2d5356920d35e1e8e0f27f111a1b14b44c,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h192.pt,84f6af2e5414de37,False,ETTm1,central,192,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h192.json,4add32b55829ecc1532e45a03e489d12b5b92a6ec4964a4543b918dc0468b461,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h336.pt,8790f0f96541113c,False,ETTm1,central,336,LatentFlow,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h336.json,22ea46c9b832d6f5029fa41f50f88d3726a2846eb3c89c290ae6bc932f728541,42,early_fusion
