channel,min,max,mean,std,roughness,zero_fraction,daily_lag_correlation,weekly_lag_correlation,correlation_with_local_OT_channel,cluster_id,cluster
0,0.0,140.0,23.26376216545012,24.126705795890157,0.5174678421180855,0.001444647201946472,0.752124338073923,0.5811883454382365,0.07357369446268695,0,irregular/high variability
1,0.0,296.0,112.88556873479318,25.552654806320874,0.5108940293664208,3.801703163017032e-05,0.7763004035357739,0.7408848019424805,0.28689482112661335,0,irregular/high variability
2,0.0,601.0,16.821624087591243,49.18944237989061,0.47082555993944636,0.005664537712895377,0.6282840177028806,0.5435961760625903,-0.04771317117822371,0,irregular/high variability
3,0.0,1170.0,440.3351961678832,152.59814952787585,0.4734237600167645,0.00011405109489051095,0.8960032163331063,0.9207174645985556,-0.02721752426429896,0,irregular/high variability
4,0.0,547.0,200.53672445255475,69.7260226722368,0.4062262974988812,0.00011405109489051095,0.8775175722314889,0.8207688783715487,-0.05553434695725977,0,irregular/high variability
5,0.0,1984.0,755.035165754258,249.59411595969777,0.47064275757086216,0.00011405109489051095,0.9081932798076167,0.9172076302009271,0.12066367133480091,1,strongly periodic
6,0.0,178.0,25.943658759124087,27.391823357651653,0.16052978433363793,0.00011405109489051095,0.8981688636867244,0.6707030237589834,0.31999231945132817,0,irregular/high variability
7,0.0,2102.0,1022.5492700729927,231.47585128644832,0.5242347085609536,0.00011405109489051095,0.8494316717706643,0.8844508770325996,0.39906641689602,0,irregular/high variability
8,0.0,600.0,214.8673205596107,83.79092377891102,0.6129980367898858,0.00011405109489051095,0.7390007792882635,0.7197577823735302,0.14510168912262753,0,irregular/high variability
9,0.0,752.0,227.06926703163018,102.18062853030014,0.5215299784368771,0.00011405109489051095,0.5644772210545413,0.6533703465524628,0.22218095383116504,0,irregular/high variability
10,0.0,385.0,161.16263686131387,48.70649699719699,0.4738324810684343,0.00011405109489051095,0.8768055709813414,0.8757674223832581,0.10736150727810362,0,irregular/high variability
11,0.0,841.0,295.7973692214112,163.53788359153876,0.4244377231023808,0.00011405109489051095,0.6610953389362644,0.9111119986470871,0.512151571538037,0,irregular/high variability
12,0.0,511.0,180.66031782238443,71.64275684543973,0.3399143534869786,0.0003801703163017032,0.7700689303855467,0.8855293967310272,0.24471492519466312,0,irregular/high variability
13,0.0,371.0,134.11690237226279,45.19688256537774,0.4881103554244669,0.00011405109489051095,0.8725053723517464,0.860284535928685,0.055443905390728625,0,irregular/high variability
14,0.0,417.0,198.86412712895378,52.45255082293888,0.4978695423374467,0.0004562043795620438,0.9057990176066167,0.9165809078954447,0.3133964476406778,0,irregular/high variability
15,0.0,2389.0,983.1075501824818,335.79031571670754,0.48378879603325675,0.00011405109489051095,0.8330071653007701,0.8659232877417256,0.38666710189434705,1,strongly periodic
16,0.0,85.0,35.82265054744526,9.643177026750335,0.6028432520483679,0.00011405109489051095,0.8106675270013995,0.8112738319526063,0.1960205903031437,0,irregular/high variability
17,0.0,394.0,165.36777676399026,44.472394544311534,0.5102865663946841,0.00011405109489051095,0.7770411779283515,0.7545954964003181,0.07598812679895352,0,irregular/high variability
18,0.0,1989.0,651.2642183698297,198.5088432810845,0.4484933696871041,0.00011405109489051095,0.8893740728981557,0.8714161792036593,0.2696471524697163,1,strongly periodic
19,0.0,304.0,111.65503345498783,49.232010904673174,0.6229211850853082,0.00011405109489051095,0.724020745062359,0.8459762006331034,0.3635849398241855,0,irregular/high variability
20,0.0,126.0,41.084169708029194,15.616083402613448,0.6564295531402551,0.0009884428223844283,0.8510688258020132,0.8602313031765211,0.014376851420606285,0,irregular/high variability
21,0.0,2250.0,873.0241788321168,293.02543894749465,0.5477601037982919,0.00011405109489051095,0.8792763298548694,0.8802823009612877,0.10324162605359309,0,irregular/high variability
