dataset,variable,meaning,unit,min,max,mean,std,dominant_period_hours,roughness,missing_count
ETTh1,HUFL,High useful load,dataset load unit,-22.70599937438965,23.643999099731445,7.375141332557705,7.067541093131279,23.994490358126722,0.41223851842627673,0
ETTh1,HULL,High useless load,dataset load unit,-4.75600004196167,10.11400032043457,2.2422424215417096,2.042283685577753,23.994490358126722,0.4002542774608449,0
ETTh1,MUFL,Middle useful load,dataset load unit,-25.08799934387207,17.340999603271484,4.300239086766587,6.826782257343104,23.994490358126722,0.404988575280621,0
ETTh1,MULL,Middle useless load,dataset load unit,-5.934000015258789,7.747000217437744,0.8815677387633465,1.8092415392851549,23.994490358126722,0.4036458548066476,0
ETTh1,LUFL,Low useful load,dataset load unit,-1.187999963760376,8.498000144958496,3.0660619981835002,1.164472527511968,11.997245179063361,0.49265639798264244,0
ETTh1,LULL,Low useless load,dataset load unit,-1.371000051498413,3.0460000038146973,0.856932145499343,0.5995346203442732,1161.3333333333335,0.29617545150357943,0
ETTh1,OT,Transformer oil temperature (forecast target),degree C,-4.079999923706056,46.00699996948242,13.324671589881694,8.566700420540554,23.994490358126722,0.1071806966318201,0
ETTh2,HUFL,High useful load,dataset load unit,0.0,107.89299774169922,37.193345627938015,10.21856148311637,23.994490358126722,0.3166092785581335,0
ETTh2,HULL,High useless load,dataset load unit,-18.68000030517578,36.43899917602539,8.537565270904558,6.020269028815693,967.7777777777778,0.3004104737984986,0
ETTh2,MUFL,Middle useful load,dataset load unit,11.204999923706056,93.2300033569336,43.83035570537729,13.056423256063242,1340.0,0.21975353145185617,0
ETTh2,MULL,Middle useless load,dataset load unit,-6.5939998626708975,28.73600006103516,8.322694250349336,4.3659335053230475,483.8888888888889,0.32862874756733956,0
ETTh2,LUFL,Low useful load,dataset load unit,-14.350000381469728,17.218000411987305,-3.423604593341304,6.1442267606528125,791.8181818181818,0.17594885202366578,0
ETTh2,LULL,Low useless load,dataset load unit,-31.46199989318848,2.931999921798706,-2.085968873154556,6.012623885696998,1340.0,0.10217033904862863,0
ETTh2,OT,Transformer oil temperature (forecast target),degree C,-2.6465001106262207,58.87699890136719,26.609375894739827,11.887924528060434,23.994490358126722,0.10894143553426171,0
ETTm1,HUFL,High useful load,dataset load unit,-23.242000579833984,24.18000030517578,7.413993338750831,7.082877182798045,23.994490358126722,0.2192928334495491,0
ETTm1,HULL,High useless load,dataset load unit,-5.692999839782715,10.3149995803833,2.26141838280807,2.0412786848539914,23.994490358126722,0.27781333331048574,0
ETTm1,MUFL,Middle useful load,dataset load unit,-26.367000579833984,18.08699989318848,4.322226455704824,6.829139913681448,23.994490358126722,0.22038244125271553,0
ETTm1,MULL,Middle useless load,dataset load unit,-6.040999889373777,7.853000164031982,0.8965089415929288,1.8072263205619354,23.994490358126722,0.28039338888237314,0
ETTm1,LUFL,Low useful load,dataset load unit,-1.187999963760376,8.498000144958496,3.0828884045137936,1.1740546605116566,11.997245179063361,0.24650920727511783,0
ETTm1,LULL,Low useless load,dataset load unit,-1.371000051498413,3.0460000038146973,0.857907461289217,0.6004358724931719,1161.3333333333335,0.19980559972659684,0
ETTm1,OT,Transformer oil temperature (forecast target),degree C,-4.2210001945495605,46.00699996948242,13.320641713825522,8.564755502780415,23.994490358126722,0.052007988021232174,0
ETTm2,HUFL,High useful load,dataset load unit,0.0,107.89299774169922,37.219411102337624,10.243368599704684,23.994490358126722,0.19769614176809241,0
ETTm2,HULL,High useless load,dataset load unit,-29.319000244140625,36.43899917602539,8.554209416509359,6.0312266513022665,967.7777777777778,0.19210216285147416,0
ETTm2,MUFL,Middle useful load,dataset load unit,10.427000045776367,93.2300033569336,43.86143825352534,13.061815571943567,23.994490358126722,0.132724798563227,0
ETTm2,MULL,Middle useless load,dataset load unit,-6.6479997634887695,29.808000564575195,8.340186601564135,4.3690076979821235,483.8888888888889,0.19362184082940234,0
ETTm2,LUFL,Low useful load,dataset load unit,-14.616999626159668,17.218000411987305,-3.430701149849544,6.154393457122295,791.8181818181818,0.13509175151007075,0
ETTm2,LULL,Low useless load,dataset load unit,-31.46199989318848,3.7309999465942383,-2.0848882042427563,6.013540506685795,1340.0,0.0702304721082194,0
ETTm2,OT,Transformer oil temperature (forecast target),degree C,-2.6465001106262207,58.87699890136719,26.609799402569333,11.886451005060936,23.994490358126722,0.03414445321340608,0
